Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
1,536,de,2424604,0.0765197972,7.651980,2424604,7.651980
2,537,la,1480449,0.0467225400,4.672254,3905053,12.324234
3,538,en,1028705,0.0324656307,3.246563,4933758,15.570797
4,539,el,838459,0.0264615222,2.646152,5772217,18.216949
5,540,que,760897,0.0240136881,2.401369,6533114,20.618318
6,541,los,569011,0.0179578217,1.795782,7102125,22.414100
7,542,las,424135,0.0133855773,1.338558,7526260,23.752658
8,543,del,420217,0.0132619263,1.326193,7946477,25.078850
9,544,se,387023,0.0122143333,1.221433,8333500,26.300284
10,545,por,295087,0.0093128599,0.931286,8628587,27.231570
11,546,un,286289,0.0090351976,0.903520,8914876,28.135089
12,547,una,277822,0.0087679815,0.876798,9192698,29.011888
13,548,con,247237,0.0078027278,0.780273,9439935,29.792160
14,549,como,227035,0.0071651586,0.716516,9666970,30.508676
15,550,para,211557,0.0066766774,0.667668,9878527,31.176344
16,551,es,207607,0.0065520166,0.655202,10086134,31.831546
17,552,no,199868,0.0063077760,0.630778,10286002,32.462323
18,553,su,177964,0.0056164921,0.561649,10463966,33.023972
19,554,al,176365,0.0055660281,0.556603,10640331,33.580575
20,555,lo,151381,0.0047775403,0.477754,10791712,34.058329
21,556,más,99262,0.0031326799,0.313268,10890974,34.371597
22,557,entre,90324,0.0028505992,0.285060,10981298,34.656657
23,558,este,85854,0.0027095273,0.270953,11067152,34.927610
24,559,sus,84892,0.0026791668,0.267917,11152044,35.195527
25,560,sobre,79331,0.0025036633,0.250366,11231375,35.445893
26,561,the,73085,0.0023065413,0.230654,11304460,35.676547
27,562,esta,64901,0.0020482567,0.204826,11369361,35.881373
28,563,of,64701,0.0020419447,0.204194,11434062,36.085567
29,564,sin,55354,0.0017469561,0.174696,11489416,36.260263
30,565,son,55343,0.0017466090,0.174661,11544759,36.434924
31,566,desde,51177,0.0016151312,0.161513,11595936,36.596437
32,567,social,49972,0.0015771018,0.157710,11645908,36.754147
33,568,ser,48952,0.0015449109,0.154491,11694860,36.908638
34,569,and,48606,0.0015339912,0.153399,11743466,37.062037
35,570,ha,47948,0.0015132249,0.151322,11791414,37.213360
36,571,también,47639,0.0015034730,0.150347,11839053,37.363707
37,572,pero,45972,0.0014508630,0.145086,11885025,37.508793
38,573,méxico,41033,0.0012949895,0.129499,11926058,37.638292
39,574,parte,38782,0.0012239486,0.122395,11964840,37.760687
40,575,si,37309,0.0011774612,0.117746,12002149,37.878433
41,576,universidad,37296,0.0011770509,0.117705,12039445,37.996138
42,577,pp,37035,0.0011688138,0.116881,12076480,38.113020
43,578,in,36616,0.0011555903,0.115559,12113096,38.228579
44,579,sociales,36494,0.0011517400,0.115174,12149590,38.343753
45,580,así,36241,0.0011437554,0.114376,12185831,38.458128
46,581,política,35210,0.0011112174,0.111122,12221041,38.569250
47,582,fue,33305,0.0010510961,0.105110,12254346,38.674360
48,583,ya,32952,0.0010399555,0.103996,12287298,38.778355
49,584,nacional,32865,0.0010372098,0.103721,12320163,38.882076
50,585,puede,32712,0.0010323812,0.103238,12352875,38.985314
51,586,trabajo,32464,0.0010245544,0.102455,12385339,39.087770
52,587,partir,32384,0.0010220296,0.102203,12417723,39.189973
53,588,dos,31829,0.0010045140,0.100451,12449552,39.290424
54,589,tanto,31703,0.0010005375,0.100054,12481255,39.390478
55,590,org,30830,0.0009729858,0.097299,12512085,39.487776
56,591,vida,30393,0.0009591942,0.095919,12542478,39.583696
57,592,otros,30305,0.0009564170,0.095642,12572783,39.679338
58,593,sino,30192,0.0009528507,0.095285,12602975,39.774623
59,594,forma,29567,0.0009331259,0.093313,12632542,39.867935
60,595,donde,29530,0.0009319582,0.093196,12662072,39.961131
61,596,estado,28677,0.0009050378,0.090504,12690749,40.051635
62,597,estos,28340,0.0008944022,0.089440,12719089,40.141075
63,598,han,27859,0.0008792219,0.087922,12746948,40.228997
64,599,todo,27640,0.0008723104,0.087231,12774588,40.316228
65,600,años,27601,0.0008710795,0.087108,12802189,40.403336
66,601,historia,27565,0.0008699434,0.086994,12829754,40.490331
67,602,ciudad,27203,0.0008585188,0.085852,12856957,40.576182
68,603,cuando,26797,0.0008457055,0.084571,12883754,40.660753
69,604,mismo,25951,0.0008190060,0.081901,12909705,40.742654
70,605,desarrollo,25914,0.0008178383,0.081784,12935619,40.824437
71,606,cual,25482,0.0008042045,0.080420,12961101,40.904858
72,607,nos,25474,0.0008039520,0.080395,12986575,40.985253
73,608,le,25453,0.0008032893,0.080329,13012028,41.065582
74,609,relación,25298,0.0007983975,0.079840,13037326,41.145422
75,610,caso,25094,0.0007919593,0.079196,13062420,41.224618
76,611,doi,24983,0.0007884562,0.078846,13087403,41.303463
77,612,manera,24900,0.0007858368,0.078584,13112303,41.382047
78,613,investigación,24852,0.0007843219,0.078432,13137155,41.460479
79,614,sentido,24711,0.0007798720,0.077987,13161866,41.538466
80,615,está,24431,0.0007710353,0.077104,13186297,41.615570
81,616,proceso,24413,0.0007704672,0.077047,13210710,41.692617
82,617,cada,24350,0.0007684789,0.076848,13235060,41.769465
83,618,análisis,24189,0.0007633978,0.076340,13259249,41.845804
84,619,otro,24140,0.0007618514,0.076185,13283389,41.921989
85,620,bajo,24069,0.0007596106,0.075961,13307458,41.997951
86,621,tiempo,24045,0.0007588532,0.075885,13331503,42.073836
87,622,issn,23150,0.0007306073,0.073061,13354653,42.146897
88,623,bien,23129,0.0007299445,0.072994,13377782,42.219891
89,624,et,22955,0.0007244531,0.072445,13400737,42.292336
90,625,sistema,22917,0.0007232539,0.072325,13423654,42.364662
91,626,estas,22789,0.0007192142,0.071921,13446443,42.436583
92,627,esto,22721,0.0007170682,0.071707,13469164,42.508290
93,628,revista,22708,0.0007166579,0.071666,13491872,42.579956
94,629,poder,22696,0.0007162792,0.071628,13514568,42.651584
95,630,mundo,22605,0.0007134072,0.071341,13537173,42.722924
96,631,lugar,22579,0.0007125867,0.071259,13559752,42.794183
97,632,vez,22291,0.0007034975,0.070350,13582043,42.864533
98,633,sólo,22195,0.0007004677,0.070047,13604238,42.934580
99,634,cultura,22167,0.0006995841,0.069958,13626405,43.004538
100,635,información,22150,0.0006990476,0.069905,13648555,43.074443
101,636,vol,22134,0.0006985426,0.069854,13670689,43.144297
102,637,redalyc,22024,0.0006950710,0.069507,13692713,43.213804
103,638,producción,21563,0.0006805220,0.068052,13714276,43.281856
104,639,artículo,21430,0.0006763246,0.067632,13735706,43.349489
105,640,buenos,21241,0.0006703598,0.067036,13756947,43.416525
106,641,mayor,21227,0.0006699179,0.066992,13778174,43.483517
107,642,tiene,21177,0.0006683400,0.066834,13799351,43.550351
108,643,sociedad,21110,0.0006662255,0.066623,13820461,43.616973
109,644,espacio,20982,0.0006621858,0.066219,13841443,43.683192
110,645,proyecto,20808,0.0006566944,0.065669,13862251,43.748861
111,646,siglo,20614,0.0006505718,0.065057,13882865,43.813918
112,647,era,20565,0.0006490254,0.064903,13903430,43.878821
113,648,argentina,20471,0.0006460588,0.064606,13923901,43.943427
114,649,aires,20464,0.0006458379,0.064584,13944365,44.008010
115,650,cómo,20432,0.0006448280,0.064483,13964797,44.072493
116,651,ese,20296,0.0006405359,0.064054,13985093,44.136547
117,652,https,20285,0.0006401887,0.064019,14005378,44.200566
